type,split,field,sample_id,index,detail
all_zero_modality_sample,train,vision,2HmBM3GGTlg$_$2,898,entire modality sequence is zero
all_zero_modality_sample,train,vision,33439$_$0,947,entire modality sequence is zero
all_zero_modality_sample,train,vision,3OMgvtWNHp4$_$10,1008,entire modality sequence is zero
all_zero_modality_sample,train,vision,3gA34VxBijI$_$1,1026,entire modality sequence is zero
all_zero_modality_sample,train,vision,44780$_$2,1053,entire modality sequence is zero
all_zero_modality_sample,train,vision,44780$_$6,1055,entire modality sequence is zero
all_zero_modality_sample,train,vision,46604$_$2,1066,entire modality sequence is zero
all_zero_modality_sample,train,vision,47472$_$4,1073,entire modality sequence is zero
all_zero_modality_sample,train,vision,5qxZFmIaynE$_$24,1167,entire modality sequence is zero
all_zero_modality_sample,train,vision,5qxZFmIaynE$_$17,1169,entire modality sequence is zero
all_zero_modality_sample,train,vision,5qxZFmIaynE$_$7,1171,entire modality sequence is zero
all_zero_modality_sample,train,vision,5qxZFmIaynE$_$9,1172,entire modality sequence is zero
all_zero_modality_sample,train,vision,6xvVFYR5di0$_$9,1213,entire modality sequence is zero
all_zero_modality_sample,train,vision,72017$_$9,1225,entire modality sequence is zero
all_zero_modality_sample,train,vision,72tXTrSXoMk$_$6,1233,entire modality sequence is zero
all_zero_modality_sample,train,vision,73449$_$4,1243,entire modality sequence is zero
all_zero_modality_sample,train,vision,7eWclVCXOtk$_$0,1291,entire modality sequence is zero
all_zero_modality_sample,train,vision,7eWclVCXOtk$_$8,1293,entire modality sequence is zero
all_zero_modality_sample,train,vision,80866$_$2,1316,entire modality sequence is zero
all_zero_modality_sample,train,vision,8qCNtqjygW8$_$7,1388,entire modality sequence is zero
all_zero_modality_sample,train,vision,8qCNtqjygW8$_$8,1389,entire modality sequence is zero
all_zero_modality_sample,train,vision,98187$_$12,1469,entire modality sequence is zero
all_zero_modality_sample,train,vision,9K5mYSaoBL4$_$9,1476,entire modality sequence is zero
all_zero_modality_sample,train,vision,AVScVfLgNmw$_$1,1503,entire modality sequence is zero
all_zero_modality_sample,train,vision,C3lDRFu1ZcI$_$3,1539,entire modality sequence is zero
all_zero_modality_sample,train,vision,Cb8ay6WtJuM$_$1,1557,entire modality sequence is zero
all_zero_modality_sample,train,vision,Cb8ay6WtJuM$_$4,1558,entire modality sequence is zero
all_zero_modality_sample,train,vision,DbAppk7xT0Y$_$0,1587,entire modality sequence is zero
all_zero_modality_sample,train,vision,EoC83JhkCAw$_$10,1619,entire modality sequence is zero
all_zero_modality_sample,train,vision,FmIS69vB12I$_$13,1661,entire modality sequence is zero
all_zero_modality_sample,train,vision,FylhSeozvG8$_$5,1675,entire modality sequence is zero
all_zero_modality_sample,train,vision,FylhSeozvG8$_$6,1676,entire modality sequence is zero
all_zero_modality_sample,train,vision,GRFXnnrQaB4$_$0,1703,entire modality sequence is zero
all_zero_modality_sample,train,vision,H26MMmrHTlQ$_$7,1728,entire modality sequence is zero
all_zero_modality_sample,train,vision,JW3OfSCZlhc$_$5,1810,entire modality sequence is zero
all_zero_modality_sample,train,vision,MsjnLoTKAXo$_$0,1906,entire modality sequence is zero
all_zero_modality_sample,train,vision,N3QuD26DuCI$_$5,1918,entire modality sequence is zero
all_zero_modality_sample,train,vision,NOl0v54DaXo$_$10,1928,entire modality sequence is zero
all_zero_modality_sample,train,vision,OBaMn1-x7jQ$_$7,1946,entire modality sequence is zero
all_zero_modality_sample,train,vision,TWMFQED1Myk$_$3,2146,entire modality sequence is zero
all_zero_modality_sample,train,vision,TWMFQED1Myk$_$6,2147,entire modality sequence is zero
all_zero_modality_sample,train,vision,WTF9xgqLIvI$_$2,2225,entire modality sequence is zero
all_zero_modality_sample,train,vision,WTF9xgqLIvI$_$7,2226,entire modality sequence is zero
all_zero_modality_sample,train,vision,Wo1RxRjXyYw$_$2,2240,entire modality sequence is zero
all_zero_modality_sample,train,vision,X7-Gbk8gAD0$_$0,2251,entire modality sequence is zero
all_zero_modality_sample,train,vision,XPoY4LD-A1I$_$8,2266,entire modality sequence is zero
all_zero_modality_sample,train,vision,YGeVGXXK3ao$_$4,2296,entire modality sequence is zero
all_zero_modality_sample,train,vision,YcyHQQXGXWA$_$4,2321,entire modality sequence is zero
all_zero_modality_sample,train,vision,ZQuGizjoCTY$_$4,2336,entire modality sequence is zero
all_zero_modality_sample,train,vision,ZQuGizjoCTY$_$8,2337,entire modality sequence is zero
all_zero_modality_sample,train,vision,Zs8x712Y-CM$_$8,2348,entire modality sequence is zero
all_zero_modality_sample,train,vision,_HanACduNJk$_$10,2367,entire modality sequence is zero
all_zero_modality_sample,train,vision,_HanACduNJk$_$12,2368,entire modality sequence is zero
all_zero_modality_sample,train,vision,_HanACduNJk$_$2,2369,entire modality sequence is zero
all_zero_modality_sample,train,vision,aCwLQrJz4Bo$_$0,2400,entire modality sequence is zero
all_zero_modality_sample,train,vision,aI1tdJPHz2I$_$1,2410,entire modality sequence is zero
all_zero_modality_sample,train,vision,aIUF3QJJOF4$_$12,2411,entire modality sequence is zero
all_zero_modality_sample,train,vision,bkP-BNW4oMg$_$0,2466,entire modality sequence is zero
all_zero_modality_sample,train,vision,c6wuh0NRG1s$_$1,2468,entire modality sequence is zero
all_zero_modality_sample,train,vision,c6wuh0NRG1s$_$9,2470,entire modality sequence is zero
all_zero_modality_sample,train,vision,c7xUcM68IFE$_$9,2473,entire modality sequence is zero
all_zero_modality_sample,train,vision,dXMAS2tIknw$_$6,2534,entire modality sequence is zero
all_zero_modality_sample,train,vision,gAMbkJk6gnE$_$2,2611,entire modality sequence is zero
all_zero_modality_sample,train,vision,gXuiIWRxrw4$_$0,2638,entire modality sequence is zero
all_zero_modality_sample,train,vision,gZF-YNQHqwI$_$13,2643,entire modality sequence is zero
all_zero_modality_sample,train,vision,ge071m9bGeY$_$0,2649,entire modality sequence is zero
all_zero_modality_sample,train,vision,ge071m9bGeY$_$4,2651,entire modality sequence is zero
all_zero_modality_sample,train,vision,hSgKOKK3L8M$_$0,2681,entire modality sequence is zero
all_zero_modality_sample,train,vision,hSgKOKK3L8M$_$5,2682,entire modality sequence is zero
all_zero_modality_sample,train,vision,hlBOP5NskhM$_$2,2695,entire modality sequence is zero
all_zero_modality_sample,train,vision,hlBOP5NskhM$_$8,2696,entire modality sequence is zero
all_zero_modality_sample,train,vision,hyazktfsZew$_$22,2704,entire modality sequence is zero
all_zero_modality_sample,train,vision,iREkcXde5ds$_$0,2720,entire modality sequence is zero
all_zero_modality_sample,train,vision,ipLoS44xfO4$_$1,2732,entire modality sequence is zero
all_zero_modality_sample,train,vision,jqKzaEniiKo$_$13,2770,entire modality sequence is zero
all_zero_modality_sample,train,vision,kqXpf26EL-s$_$5,2825,entire modality sequence is zero
all_zero_modality_sample,train,vision,l8LTcZJ-_8k$_$17,2845,entire modality sequence is zero
all_zero_modality_sample,valid,vision,80855$_$15,227,entire modality sequence is zero
all_zero_modality_sample,valid,vision,Fy0Uid9afM8$_$5,314,entire modality sequence is zero
all_zero_modality_sample,valid,vision,H1DpVwktfDQ$_$0,316,entire modality sequence is zero
all_zero_modality_sample,valid,vision,JAnRCQ9A0vI$_$5,332,entire modality sequence is zero
all_zero_modality_sample,valid,vision,N5xfBtD6rLY$_$7,375,entire modality sequence is zero
all_zero_modality_sample,valid,vision,Q4WzApjaCNI$_$0,397,entire modality sequence is zero
all_zero_modality_sample,valid,vision,Q7S0tX4FUNA$_$7,399,entire modality sequence is zero
all_zero_modality_sample,valid,vision,UlTJmndbGHM$_$4,442,entire modality sequence is zero
all_zero_modality_sample,valid,vision,XIGpuL-Kkyk$_$0,462,entire modality sequence is zero
all_zero_modality_sample,valid,vision,XIGpuL-Kkyk$_$7,464,entire modality sequence is zero
all_zero_modality_sample,valid,vision,Y7qkyMyanjU$_$2,470,entire modality sequence is zero
all_zero_modality_sample,valid,vision,Y7qkyMyanjU$_$4,471,entire modality sequence is zero
all_zero_modality_sample,valid,vision,sPremsknoLM$_$1,666,entire modality sequence is zero
all_zero_modality_sample,valid,vision,tQ-CIfgj-Js$_$3,670,entire modality sequence is zero
all_zero_modality_sample,valid,vision,zjYEBwXGD8I$_$4,725,entire modality sequence is zero
audio_boundary_value_review,test,audio,8lfS97s2AKc$_$0,269,"timestep=3, feature_dim=0, value=500.0; boundary-valued observation, not classified as invalid"
audio_boundary_value_review,test,audio,8lfS97s2AKc$_$0,269,"timestep=4, feature_dim=0, value=500.0; boundary-valued observation, not classified as invalid"
audio_boundary_value_review,test,audio,8lfS97s2AKc$_$0,269,"timestep=5, feature_dim=0, value=500.0; boundary-valued observation, not classified as invalid"
all_zero_modality_sample,test,vision,-s9qJ7ATP7w$_$6,6,entire modality sequence is zero
all_zero_modality_sample,test,vision,136196$_$0,47,entire modality sequence is zero
all_zero_modality_sample,test,vision,23656$_$1,117,entire modality sequence is zero
all_zero_modality_sample,test,vision,23656$_$9,121,entire modality sequence is zero
all_zero_modality_sample,test,vision,23656$_$15,122,entire modality sequence is zero
all_zero_modality_sample,test,vision,273207$_$0,162,entire modality sequence is zero
all_zero_modality_sample,test,vision,53609$_$10,219,entire modality sequence is zero
all_zero_modality_sample,test,vision,88791$_$15,264,entire modality sequence is zero
all_zero_modality_sample,test,vision,AB1PbMaW03s$_$13,295,entire modality sequence is zero
all_zero_modality_sample,test,vision,AB1PbMaW03s$_$3,296,entire modality sequence is zero
all_zero_modality_sample,test,vision,AB1PbMaW03s$_$8,297,entire modality sequence is zero
all_zero_modality_sample,test,vision,AHiA9hohKr8$_$0,298,entire modality sequence is zero
all_zero_modality_sample,test,vision,EyoMU2yoJPY$_$7,321,entire modality sequence is zero
all_zero_modality_sample,test,vision,UjqA6KVW2m8$_$3,436,entire modality sequence is zero
all_zero_modality_sample,test,vision,VDkBM0ZG4q8$_$7,443,entire modality sequence is zero
all_zero_modality_sample,test,vision,XKyumlBmix8$_$2,467,entire modality sequence is zero
all_zero_modality_sample,test,vision,Y8dI1GTWCk4$_$6,475,entire modality sequence is zero
all_zero_modality_sample,test,vision,ZznoGQVwTtw$_$4,491,entire modality sequence is zero
all_zero_modality_sample,test,vision,a4PHWxILDp0$_$15,498,entire modality sequence is zero
all_zero_modality_sample,test,vision,cW-aX4dPVfk$_$30,516,entire modality sequence is zero
all_zero_modality_sample,test,vision,eFV7iFPYZB4$_$12,526,entire modality sequence is zero
all_zero_modality_sample,test,vision,kg-W6-hP2Do$_$3,575,entire modality sequence is zero
all_zero_modality_sample,test,vision,lYwgLa4R5XQ$_$1,586,entire modality sequence is zero
all_zero_modality_sample,test,vision,lkIe41StoGI$_$10,587,entire modality sequence is zero
all_zero_modality_sample,test,vision,lkIe41StoGI$_$3,588,entire modality sequence is zero
all_zero_modality_sample,test,vision,lkIe41StoGI$_$2,589,entire modality sequence is zero
all_zero_modality_sample,test,vision,lwL4hjhkid4$_$1,591,entire modality sequence is zero
all_zero_modality_sample,test,vision,wznRBN1fWj4$_$6,690,entire modality sequence is zero
