sample_id,video_id,clip_id,duration,text_feature_source,official_alignment_valid,media_text_valid,timestamp_valid,official_consistency_score,text_warning,aligned_length,timestamp_fallback_count,source_mp4_hash,processing_status,text_native_length,text_dimension,text_valid_bins,text_coverage,text_empty_bin_ratio,audio_native_length,audio_dimension,audio_valid_bins,audio_coverage,audio_empty_bin_ratio,vision_native_length,vision_dimension,vision_valid_bins,vision_coverage,vision_empty_bin_ratio
-I_e4mIh0yE__1,-I_e4mIh0yE,1,7.622005,official_transcript,True,True,True,1.0,only 18/19 official tokens received observed Whisper times; unmatched tokens omitted from timed features,50,0,8453a966d4bd1f0179eb86a35cd34c0864a3a3bc2fa86f37783060cc0d14f5df,complete,18,768,44,0.88,0.12,371,768,49,0.98,0.020000000000000018,31,768,50,1.0,0.0
-I_e4mIh0yE__3,-I_e4mIh0yE,3,9.163021,official_transcript,True,True,True,0.95652174,only 22/23 official tokens received observed Whisper times; unmatched tokens omitted from timed features,50,0,a015f02ae51d74c42ad27e2a0831263a303f0658ac8d984819e27ad61342b23e,complete,22,768,46,0.92,0.07999999999999996,449,768,50,1.0,0.0,37,768,50,1.0,0.0
-MeTTeMJBNc__0,-MeTTeMJBNc,0,9.333333333333334,official_transcript,True,True,True,1.0,only 21/22 official tokens received observed Whisper times; unmatched tokens omitted from timed features,50,0,54e2097f7bdb455d243e72254e5af7ed16160739f2f3cfd22f57d2729ec1acbe,complete,21,768,42,0.84,0.16000000000000003,460,768,50,1.0,0.0,38,768,50,1.0,0.0
-MeTTeMJBNc__13,-MeTTeMJBNc,13,5.430013,official_transcript,True,True,True,0.93333333,,50,0,80c5d996e5d7b61c58e1fe32d706efcaf80c8c8cddb5c37a5c66d527786c2a44,complete,14,768,39,0.78,0.21999999999999997,262,768,49,0.98,0.020000000000000018,22,768,50,1.0,0.0
-MeTTeMJBNc__7,-MeTTeMJBNc,7,10.516992,official_transcript,True,True,True,0.96875,,50,0,40716dc7402fd6398038eded58ce939ec76be6afbeea346b968bf4c427088f3a,complete,31,768,45,0.9,0.09999999999999998,520,768,50,1.0,0.0,43,768,50,1.0,0.0
-NFrJFQijFE__1,-NFrJFQijFE,1,5.746,media_asr,False,True,True,0.0625,"prior transcript audit: mean word probability 0.114 and mean segment avg_logprob -4.005 are both below their observed cohort Q1s (0.905, -0.319); mean no_speech_probability 9.86e-11 is above observed cohort Q3 2.6e-12, with low word probability; 5 word timestamps use coarse owning-segment fallback, not recovered precise word times; large-v3 not selected: secondary text score did not improve; decoder metrics did not all remain at least as good as primary; secondary output has independent normality warning(s); official transcript did not meet observed lexical and timestamp mapping criteria; media ASR used; 5 used word interval(s) use owning segment fallback; these are coarse segment times",50,5,d8fcf16c6eb51c56947ec3d0549c6f3bc7a0cf1fc5f5d89e8b38d4249a08db4f,complete,6,768,13,0.26,0.74,282,768,50,1.0,0.0,23,768,50,1.0,0.0
-NFrJFQijFE__2,-NFrJFQijFE,2,6.856,media_asr,False,True,True,0.0,"prior transcript audit: mean word probability 0.855 and mean segment avg_logprob -0.454 are both below their observed cohort Q1s (0.905, -0.319); mean no_speech_probability 1.48e-11 is above observed cohort Q3 2.6e-12, with low word probability; large-v3 not selected: secondary text score did not improve; decoder metrics did not all remain at least as good as primary; official transcript did not meet observed lexical and timestamp mapping criteria; media ASR used",50,0,a54a5c144a64f5abd26b19aafa6cea8142ee08e9385fa508fa70c934f6b616c1,complete,10,768,25,0.5,0.5,334,768,49,0.98,0.020000000000000018,28,768,50,1.0,0.0
-RfYyzHpjk4__11,-RfYyzHpjk4,11,5.238997,official_transcript,True,True,True,1.0,,50,0,96e481cd732001239639c8cb4e7f94e570925e5a15940920ffab0cec1f13f904,complete,17,768,43,0.86,0.14,253,768,49,0.98,0.020000000000000018,21,768,50,1.0,0.0
-RfYyzHpjk4__2,-RfYyzHpjk4,2,5.516016,official_transcript,True,True,True,1.0,"prior transcript audit: 1 word timestamps use coarse owning-segment fallback, not recovered precise word times; 1 used word interval(s) use owning segment fallback; these are coarse segment times",50,1,5e428ee22de58c9d6561b9b4353bef9dfb811a5841d9ab07b5bc453d697ad17f,complete,25,768,42,0.84,0.16000000000000003,269,768,49,0.98,0.020000000000000018,23,768,50,1.0,0.0
-RfYyzHpjk4__8,-RfYyzHpjk4,8,4.588997,official_transcript,True,True,True,0.88235294,only 16/17 official tokens received observed Whisper times; unmatched tokens omitted from timed features,50,0,ed8c672c532b8c7d1c830c82d6e2c14fcb3bbd3dc1a86670a03a6c8e83c02f3c,complete,16,768,37,0.74,0.26,226,768,50,1.0,0.0,19,768,50,1.0,0.0
-THoVjtIkeU__12,-THoVjtIkeU,12,14.896029,official_transcript,True,True,True,0.94871795,only 37/39 official tokens received observed Whisper times; unmatched tokens omitted from timed features,50,0,e2f148f4f2e74724dc13b3ce870a0ce6a06740cfc224f5a9b3d0a870b196e7d4,complete,37,768,40,0.8,0.19999999999999996,740,768,50,1.0,0.0,60,768,50,1.0,0.0
-THoVjtIkeU__2,-THoVjtIkeU,2,4.291992,official_transcript,True,True,True,1.0,,50,0,35a6c2464ffd68dd96411edb5dc2763f0efb59f264c1d8b737e616fa6b0d1d5b,complete,10,768,43,0.86,0.14,211,768,50,1.0,0.0,18,768,50,1.0,0.0
-THoVjtIkeU__6,-THoVjtIkeU,6,8.097005,official_transcript,True,True,True,0.93333333,only 29/30 official tokens received observed Whisper times; unmatched tokens omitted from timed features,50,0,efaa55ee6394032c867046690a92c29edfd825005f0a090cca5ccb763b227f64,complete,29,768,45,0.9,0.09999999999999998,398,768,50,1.0,0.0,33,768,50,1.0,0.0
-UUCSKoHeMA__0,-UUCSKoHeMA,0,7.866666333333333,official_transcript,True,True,True,0.46153846,"prior transcript audit: mean word probability 0.707 and mean segment avg_logprob -0.659 are both below their observed cohort Q1s (0.905, -0.319); 17 word timestamps use coarse owning-segment fallback, not recovered precise word times; large-v3 not selected: decoder metrics did not all remain at least as good as primary",50,0,3f9792888ec8e969f61cfb6cb4de7bdf7ef8944afe0a9d2a9d13586e1f13b898,complete,18,768,37,0.74,0.26,386,768,50,1.0,0.0,32,768,50,1.0,0.0
-UacrmKiTn4__10,-UacrmKiTn4,10,7.361979,official_transcript,True,True,True,0.9047619,only 18/19 official tokens received observed Whisper times; unmatched tokens omitted from timed features,50,0,00312e0602dbeac970de5d7dd0e8a970e514fe45d7fe6625b4f454b299e36360,complete,18,768,41,0.82,0.18000000000000005,361,768,50,1.0,0.0,30,768,50,1.0,0.0
-UacrmKiTn4__4,-UacrmKiTn4,4,4.741016,official_transcript,True,True,True,1.0,,50,0,a7f2ab0d6ee2e2a2d5cd4239f03e6cac67c618ddb744891323df3ff87e29af84,complete,14,768,43,0.86,0.14,233,768,50,1.0,0.0,19,768,50,1.0,0.0
-UuX1xuaiiE__0,-UuX1xuaiiE,0,3.700000333333333,official_transcript,True,True,True,1.0,,50,0,f578b305d53bc152702f5e771de0fcd12d1e9aaefc5cefce3d2082a417aab7c8,complete,9,768,40,0.8,0.19999999999999996,178,768,49,0.98,0.020000000000000018,15,768,50,1.0,0.0
-UuX1xuaiiE__1,-UuX1xuaiiE,1,10.35,official_transcript,True,True,True,1.0,only 27/28 official tokens received observed Whisper times; unmatched tokens omitted from timed features,50,0,d5bbda38fcec15817d2b87bab5dcc559d6d425f7d28a82e6c32d13f14b48650c,complete,27,768,47,0.94,0.06000000000000005,513,768,50,1.0,0.0,42,768,50,1.0,0.0
-UuX1xuaiiE__3,-UuX1xuaiiE,3,4.130013,official_transcript,True,True,True,1.0,,50,0,eddb408f25bdc13e6de2fb74caeed709cb7a8f00640e7897135330437f66a2aa,complete,9,768,43,0.86,0.14,201,768,49,0.98,0.020000000000000018,17,768,50,1.0,0.0
-UuX1xuaiiE__6,-UuX1xuaiiE,6,8.113997,official_transcript,True,True,True,0.91304348,"prior transcript audit: 1 word timestamps use coarse owning-segment fallback, not recovered precise word times; 1 used word interval(s) use owning segment fallback; these are coarse segment times; only 21/22 official tokens received observed Whisper times; unmatched tokens omitted from timed features",50,1,f0131ac00e44410fbd32c547a0d421c2791172434fc0203bb969abe14a530532,complete,21,768,45,0.9,0.09999999999999998,396,768,49,0.98,0.020000000000000018,33,768,50,1.0,0.0
-a55Q6RWvTA__3,-a55Q6RWvTA,3,22.153971,official_transcript,True,True,True,0.97014925,only 63/67 official tokens received observed Whisper times; unmatched tokens omitted from timed features,50,0,15d029fc15f50b268b98f1e8abc65e45582e638c13a018d7aa74a18373275946,complete,63,768,48,0.96,0.040000000000000036,1103,768,50,1.0,0.0,89,768,50,1.0,0.0
-aNfi7CP8vM__7,-aNfi7CP8vM,7,8.694987,official_transcript,True,True,True,1.0,only 18/19 official tokens received observed Whisper times; unmatched tokens omitted from timed features,50,0,0b6389f45bb966113c65a11998c6e7facdd24c8c42acf2e8cf32e0f2139402e1,complete,18,768,46,0.92,0.07999999999999996,426,768,50,1.0,0.0,35,768,50,1.0,0.0
-aqamKhZ1Ec__0,-aqamKhZ1Ec,0,11.000000333333332,official_transcript,True,True,True,0.66666667,"prior transcript audit: mean word probability 0.854 and mean segment avg_logprob -0.501 are both below their observed cohort Q1s (0.905, -0.319)",50,0,6f6e674bbba4353399e9e7825217f37e6d8ca1adf9675f33cf37106f31c55548,complete,14,768,33,0.66,0.33999999999999997,544,768,50,1.0,0.0,45,768,50,1.0,0.0
-dxfTGcXJoc__0,-dxfTGcXJoc,0,20.533333333333335,official_transcript,True,True,True,0.93023256,only 41/42 official tokens received observed Whisper times; unmatched tokens omitted from timed features,50,0,04bd0be907fb46c613f926fe1b06bc2c3b30881c293156510baa34a4105ade55,complete,41,768,47,0.94,0.06000000000000005,1020,768,50,1.0,0.0,83,768,50,1.0,0.0
-dxfTGcXJoc__1,-dxfTGcXJoc,1,16.161003,official_transcript,True,True,True,1.0,,50,0,b5ffdc98a4a98b8f0aae55dee5fed66a43bcb129f47a250a004c1cc74e572595,complete,36,768,47,0.94,0.06000000000000005,800,768,50,1.0,0.0,65,768,50,1.0,0.0
-dxfTGcXJoc__2,-dxfTGcXJoc,2,16.697982,official_transcript,True,True,True,0.94285714,only 33/35 official tokens received observed Whisper times; unmatched tokens omitted from timed features,50,0,46a5e523b5dd00364c99a3bcbc6fae4c80e1382a84b5b5e681c46eb074ed10f7,complete,33,768,46,0.92,0.07999999999999996,831,768,50,1.0,0.0,67,768,50,1.0,0.0
-dxfTGcXJoc__6,-dxfTGcXJoc,6,12.735026,official_transcript,True,True,True,1.0,,50,0,55c1ff86729ab21da743a5107ed07b220e41b4193cd1c0ba9f009e65c3ab0513,complete,28,768,48,0.96,0.040000000000000036,631,768,50,1.0,0.0,51,768,50,1.0,0.0
-egA8-b7-3M__1,-egA8-b7-3M,1,10.266016,official_transcript,True,True,True,0.95238095,,50,0,589a7989b1b4888568c31614a2d6beefba88fb87289c85b94df2d8051500403b,complete,20,768,44,0.88,0.12,507,768,50,1.0,0.0,42,768,50,1.0,0.0
-egA8-b7-3M__13,-egA8-b7-3M,13,4.183984,official_transcript,True,True,True,1.0,,50,0,cbd627c225ebca37521ae238cb9ec254cad236822f4f37ebfbb039e6c56aea4c,complete,11,768,40,0.8,0.19999999999999996,200,768,48,0.96,0.040000000000000036,17,768,50,1.0,0.0
-egA8-b7-3M__16,-egA8-b7-3M,16,5.538021,official_transcript,True,True,True,1.0,,50,0,4c015f85e3bd901ecedde8c0c2ca4a756d9a77dfe4177625c481581f2037ff9c,complete,11,768,41,0.82,0.18000000000000005,273,768,50,1.0,0.0,23,768,50,1.0,0.0
-egA8-b7-3M__17,-egA8-b7-3M,17,7.271029,official_transcript,True,True,True,1.0,,50,0,f967e81e0edd51c3700671721afb3fbecbbc32652f27d2db40ea444e8d80c68f,complete,16,768,43,0.86,0.14,354,768,49,0.98,0.020000000000000018,30,768,50,1.0,0.0
-egA8-b7-3M__18,-egA8-b7-3M,18,8.386003,official_transcript,True,True,True,1.0,only 22/24 official tokens received observed Whisper times; unmatched tokens omitted from timed features,50,0,fd4bc95a6adfb16a9588b7ed65cc2812186ce3d607804dc76f4486312951ef90,complete,22,768,47,0.94,0.06000000000000005,413,768,50,1.0,0.0,34,768,50,1.0,0.0
-egA8-b7-3M__20,-egA8-b7-3M,20,6.644987,official_transcript,True,True,True,1.0,only 20/21 official tokens received observed Whisper times; unmatched tokens omitted from timed features,50,0,719ef133920e74b3ea33925d2bca0270b062199116867568f88ac83cadcd74e8,complete,20,768,43,0.86,0.14,323,768,49,0.98,0.020000000000000018,27,768,50,1.0,0.0
-egA8-b7-3M__26,-egA8-b7-3M,26,6.03099,official_transcript,True,True,True,1.0,only 15/16 official tokens received observed Whisper times; unmatched tokens omitted from timed features,50,0,11f78aed680ea9c5862a15e04ff6c1f8776c46d29c98b68d28773ff39d959685,complete,15,768,42,0.84,0.16000000000000003,295,768,49,0.98,0.020000000000000018,25,768,50,1.0,0.0
-egA8-b7-3M__6,-egA8-b7-3M,6,6.264974,official_transcript,True,True,True,1.0,,50,0,2e88a00d5e55863aa956b4b0949fc0e4f2975ccfd83b3194957f6fca86ecfce0,complete,12,768,40,0.8,0.19999999999999996,308,768,50,1.0,0.0,26,768,50,1.0,0.0
-egA8-b7-3M__9,-egA8-b7-3M,9,5.089974,official_transcript,True,True,True,1.0,,50,0,bcd643f328616312eae9b28e6c9aabbe8acaec3e4c4be58daeb45e3eee4d973c,complete,10,768,40,0.8,0.19999999999999996,246,768,49,0.98,0.020000000000000018,21,768,50,1.0,0.0
-hnBHBN8p5A__6,-hnBHBN8p5A,6,6.401,media_asr,False,True,True,0.07692308,prior transcript audit: official match score 0.0769 below observed Q1 0.6667 without sufficient official-token alignment; large-v3 not selected: secondary text score did not improve; decoder metrics did not all remain at least as good as primary; official transcript did not meet observed lexical and timestamp mapping criteria; media ASR used,50,0,997f6808ac3973ddd71800e91c8e10755c10b5037186d84348a79e00d672fdc7,complete,13,768,43,0.86,0.14,316,768,50,1.0,0.0,26,768,50,1.0,0.0
-hnBHBN8p5A__7,-hnBHBN8p5A,7,7.372,media_asr,False,True,True,0.0,prior transcript audit: official match score 0.0000 below observed Q1 0.6667 without sufficient official-token alignment; large-v3 not selected: secondary text score did not improve; decoder metrics did not all remain at least as good as primary; official transcript did not meet observed lexical and timestamp mapping criteria; media ASR used,50,0,0ec6fb76226315d3fafbb483e3500e60cc8a6729617b10e4b4b76163595080fb,complete,16,768,46,0.92,0.07999999999999996,365,768,50,1.0,0.0,30,768,50,1.0,0.0
-iRBcNs9oI8__3,-iRBcNs9oI8,3,5.621,media_asr,False,True,True,0.0,prior transcript audit: official match score 0.0000 below observed Q1 0.6667 without sufficient official-token alignment; official transcript did not meet observed lexical and timestamp mapping criteria; media ASR used,50,0,39c547acd1a8da2ebc6c6ab008191a5676420398a974cd9611cad087f0ccec50,complete,14,768,47,0.94,0.06000000000000005,276,768,50,1.0,0.0,23,768,50,1.0,0.0
-iRBcNs9oI8__6,-iRBcNs9oI8,6,2.903,media_asr,False,True,True,0.0,prior transcript audit: official match score 0.0000 below observed Q1 0.6667 without sufficient official-token alignment; official transcript did not meet observed lexical and timestamp mapping criteria; media ASR used,50,0,030b0b8d8d4ae47799432ab71b66fcc881f077c5b0feef892c1f146dc0a592e3,complete,9,768,42,0.84,0.16000000000000003,140,768,49,0.98,0.020000000000000018,12,768,50,1.0,0.0
-iRBcNs9oI8__7,-iRBcNs9oI8,7,4.104,media_asr,False,True,True,0.0,prior transcript audit: official match score 0.0000 below observed Q1 0.6667 without sufficient official-token alignment; large-v3 not selected: secondary text score did not improve; decoder metrics did not all remain at least as good as primary; official transcript did not meet observed lexical and timestamp mapping criteria; media ASR used,50,0,cc7b1c7a06ec41d72007b5c42fb8036f30b66d5cf76e3f093160c22fc5e38081,complete,11,768,44,0.88,0.12,200,768,49,0.98,0.020000000000000018,17,768,50,1.0,0.0
-iRBcNs9oI8__8,-iRBcNs9oI8,8,8.093,media_asr,False,True,True,0.0,prior transcript audit: official match score 0.0000 below observed Q1 0.6667 without sufficient official-token alignment; large-v3 not selected: secondary text score did not improve; decoder metrics did not all remain at least as good as primary; official transcript did not meet observed lexical and timestamp mapping criteria; media ASR used,50,0,72a49e3da2862addcde033bd2fbae957d086533664ca4dcbccd3a851bcd50412,complete,22,768,41,0.82,0.18000000000000005,401,768,50,1.0,0.0,33,768,50,1.0,0.0
-iRBcNs9oI8__9,-iRBcNs9oI8,9,3.416,media_asr,False,True,True,0.0,"prior transcript audit: mean word probability 0.732 and mean segment avg_logprob -0.634 are both below their observed cohort Q1s (0.905, -0.319); large-v3 not selected: secondary text score did not improve; decoder metrics did not all remain at least as good as primary; official transcript did not meet observed lexical and timestamp mapping criteria; media ASR used",50,0,352bdcc73d3622d6abac1b09f2039b211d15b9bf7acee66f0b07783c9b7a4c74,complete,3,768,34,0.68,0.31999999999999995,168,768,50,1.0,0.0,14,768,50,1.0,0.0
-lzEya4AM_4__5,-lzEya4AM_4,5,7.675,official_transcript,True,True,True,0.94736842,only 18/19 official tokens received observed Whisper times; unmatched tokens omitted from timed features,50,0,3b74de8d0e66fd754594f05985e5af3480adcc03555f79225d3b727cb4bed043,complete,18,768,42,0.84,0.16000000000000003,378,768,50,1.0,0.0,31,768,50,1.0,0.0
-lzEya4AM_4__6,-lzEya4AM_4,6,14.791992,official_transcript,True,True,True,0.97674419,only 42/43 official tokens received observed Whisper times; unmatched tokens omitted from timed features,50,0,ff5da5afb551001d58100ed2471caea51c741046d5396957efbf40082307ca18,complete,42,768,48,0.96,0.040000000000000036,736,768,50,1.0,0.0,60,768,50,1.0,0.0
-mJ2ud6oKI8__1,-mJ2ud6oKI8,1,6.103,media_asr,False,True,True,0.0,"prior transcript audit: mean word probability 0.525 and mean segment avg_logprob -0.386 are both below their observed cohort Q1s (0.905, -0.319); mean no_speech_probability 1.25e-10 is above observed cohort Q3 2.6e-12, with low word probability; large-v3 not selected: secondary text score did not improve; decoder metrics did not all remain at least as good as primary; official transcript did not meet observed lexical and timestamp mapping criteria; media ASR used",50,0,c8e3acb4ca08679796c4c8cdfcd8c2b3cffc0465015efaffa1eccdb55ff4f45b,complete,2,768,45,0.9,0.09999999999999998,302,768,50,1.0,0.0,25,768,50,1.0,0.0
-mJ2ud6oKI8__2,-mJ2ud6oKI8,2,5.731,media_asr,False,True,True,0.0,"prior transcript audit: mean no_speech_probability 9.1e-11 is above observed cohort Q3 2.6e-12, with low word probability; large-v3 not selected: secondary text score did not improve; decoder metrics did not all remain at least as good as primary; official transcript did not meet observed lexical and timestamp mapping criteria; media ASR used",50,0,c41790f8b75f886bd1f5d6d72cbab1985306d0b715e5ae47203f3d0c8a3e7b28,complete,2,768,45,0.9,0.09999999999999998,284,768,50,1.0,0.0,23,768,50,1.0,0.0
-mJ2ud6oKI8__6,-mJ2ud6oKI8,6,2.257,media_asr,False,True,True,0.125,prior transcript audit: official match score 0.1250 below observed Q1 0.6667 without sufficient official-token alignment; official transcript did not meet observed lexical and timestamp mapping criteria; media ASR used,50,0,134a3a4ebbc423760133b0da0e90cfe84d75ea85df3968000afd84153c5d828d,complete,8,768,45,0.9,0.09999999999999998,111,768,50,1.0,0.0,10,768,50,1.0,0.0
-mJ2ud6oKI8__8,-mJ2ud6oKI8,8,4.192,media_asr,False,True,True,0.05882353,"prior transcript audit: mean word probability 0.717 and mean segment avg_logprob -0.745 are both below their observed cohort Q1s (0.905, -0.319); 4 word timestamps use coarse owning-segment fallback, not recovered precise word times; large-v3 not selected: gain below data-derived Q3 of positive improvements (0.4029); decoder metrics did not all remain at least as good as primary; official transcript did not meet observed lexical and timestamp mapping criteria; media ASR used; 4 used word interval(s) use owning segment fallback; these are coarse segment times",50,4,6af6614c9838417a48c4817f4dd5bf1e6669eb5f78f983e9a68adc113fcdc7cc,complete,17,768,45,0.9,0.09999999999999998,208,768,50,1.0,0.0,17,768,50,1.0,0.0
-mJ2ud6oKI8__9,-mJ2ud6oKI8,9,7.033,media_asr,False,True,True,0.04545455,"prior transcript audit: official match score 0.0455 below observed Q1 0.6667 without sufficient official-token alignment; 1 word timestamps use coarse owning-segment fallback, not recovered precise word times; large-v3 not selected: secondary text score did not improve; decoder metrics did not all remain at least as good as primary; official transcript did not meet observed lexical and timestamp mapping criteria; media ASR used; 1 used word interval(s) use owning segment fallback; these are coarse segment times",50,1,df3442f3ed8f894b507923e87e426ae9636790a4a502d00c350a215270cc3e47,complete,19,768,49,0.98,0.020000000000000018,345,768,50,1.0,0.0,29,768,50,1.0,0.0
-mqbVkbCndg__0,-mqbVkbCndg,0,6.500000333333333,official_transcript,True,True,True,1.0,,50,0,cdeba953bba30907814acf72f3e35582dec263eaa25bdd922dad7fafe02e4dda,complete,14,768,41,0.82,0.18000000000000005,319,768,50,1.0,0.0,27,768,50,1.0,0.0
-qDkUB0GgYY__6,-qDkUB0GgYY,6,4.677995,official_transcript,True,True,True,0.76190476,,50,0,ab19bf4a761d3919b7113b1104ccaadbbf0c4e7b45694904d094280a2c329c8b,complete,16,768,37,0.74,0.26,230,768,50,1.0,0.0,19,768,50,1.0,0.0
