sample_id,video_id,clip_id,duration,label,annotation,text_valid_bins,audio_valid_bins,vision_valid_bins,text_feature_source,timestamp_fallback_count
-UUCSKoHeMA__0,-UUCSKoHeMA,0,7.866666333333333,0.0,Neutral,37,50,50,official_transcript,0
-UacrmKiTn4__10,-UacrmKiTn4,10,7.361979,-0.6666666865348816,Negative,41,50,50,official_transcript,0
-UacrmKiTn4__4,-UacrmKiTn4,4,4.741016,-1.3333333730697632,Negative,43,50,50,official_transcript,0
-UuX1xuaiiE__0,-UuX1xuaiiE,0,3.700000333333333,2.6666667461395264,Positive,40,49,50,official_transcript,0
-UuX1xuaiiE__1,-UuX1xuaiiE,1,10.35,1.6666666269302368,Positive,47,50,50,official_transcript,0
-UuX1xuaiiE__3,-UuX1xuaiiE,3,4.130013,0.3333333432674408,Positive,43,49,50,official_transcript,0
-UuX1xuaiiE__6,-UuX1xuaiiE,6,8.113997,-0.3333333432674408,Negative,45,49,50,official_transcript,1
-a55Q6RWvTA__3,-a55Q6RWvTA,3,22.153971,0.6666666865348816,Positive,48,50,50,official_transcript,0
-aNfi7CP8vM__7,-aNfi7CP8vM,7,8.694987,0.0,Neutral,46,50,50,official_transcript,0
-aqamKhZ1Ec__0,-aqamKhZ1Ec,0,11.000000333333332,-2.0,Negative,33,50,50,official_transcript,0
-dxfTGcXJoc__0,-dxfTGcXJoc,0,20.53333333333333,1.0,Positive,47,50,50,official_transcript,0
-dxfTGcXJoc__1,-dxfTGcXJoc,1,16.161003,1.6666666269302368,Positive,47,50,50,official_transcript,0
-dxfTGcXJoc__2,-dxfTGcXJoc,2,16.697982,0.6666666865348816,Positive,46,50,50,official_transcript,0
-dxfTGcXJoc__6,-dxfTGcXJoc,6,12.735026,0.6666666865348816,Positive,48,50,50,official_transcript,0
-egA8-b7-3M__1,-egA8-b7-3M,1,10.266016,0.6666666865348816,Positive,44,50,50,official_transcript,0
-egA8-b7-3M__13,-egA8-b7-3M,13,4.183984,0.3333333432674408,Positive,40,48,50,official_transcript,0
-egA8-b7-3M__16,-egA8-b7-3M,16,5.538021,0.6666666865348816,Positive,41,50,50,official_transcript,0
-egA8-b7-3M__17,-egA8-b7-3M,17,7.271029,0.3333333432674408,Positive,43,49,50,official_transcript,0
-egA8-b7-3M__18,-egA8-b7-3M,18,8.386003,1.0,Positive,47,50,50,official_transcript,0
-egA8-b7-3M__20,-egA8-b7-3M,20,6.644987,0.3333333432674408,Positive,43,49,50,official_transcript,0
-egA8-b7-3M__26,-egA8-b7-3M,26,6.03099,1.6666666269302368,Positive,42,49,50,official_transcript,0
-egA8-b7-3M__6,-egA8-b7-3M,6,6.264974,0.6666666865348816,Positive,40,50,50,official_transcript,0
-egA8-b7-3M__9,-egA8-b7-3M,9,5.089974,0.3333333432674408,Positive,40,49,50,official_transcript,0
-hnBHBN8p5A__6,-hnBHBN8p5A,6,6.401,1.0,Positive,43,50,50,media_asr,0
-hnBHBN8p5A__7,-hnBHBN8p5A,7,7.372,0.6666666865348816,Positive,46,50,50,media_asr,0
-iRBcNs9oI8__3,-iRBcNs9oI8,3,5.621,0.6666666865348816,Positive,47,50,50,media_asr,0
-iRBcNs9oI8__6,-iRBcNs9oI8,6,2.903,0.3333333432674408,Positive,42,49,50,media_asr,0
-iRBcNs9oI8__7,-iRBcNs9oI8,7,4.104,0.6666666865348816,Positive,44,49,50,media_asr,0
-iRBcNs9oI8__8,-iRBcNs9oI8,8,8.093,1.0,Positive,41,50,50,media_asr,0
-iRBcNs9oI8__9,-iRBcNs9oI8,9,3.416,1.3333333730697632,Positive,34,50,50,media_asr,0
-lzEya4AM_4__5,-lzEya4AM_4,5,7.675,-0.6666666865348816,Negative,42,50,50,official_transcript,0
-lzEya4AM_4__6,-lzEya4AM_4,6,14.791992,-0.3333333432674408,Negative,48,50,50,official_transcript,0
-mJ2ud6oKI8__1,-mJ2ud6oKI8,1,6.103,0.0,Neutral,45,50,50,media_asr,0
-mJ2ud6oKI8__2,-mJ2ud6oKI8,2,5.731,0.0,Neutral,45,50,50,media_asr,0
-mJ2ud6oKI8__6,-mJ2ud6oKI8,6,2.257,0.3333333432674408,Positive,45,50,50,media_asr,0
-mJ2ud6oKI8__8,-mJ2ud6oKI8,8,4.192,-0.3333333432674408,Negative,45,50,50,media_asr,4
-mJ2ud6oKI8__9,-mJ2ud6oKI8,9,7.033,0.0,Neutral,49,50,50,media_asr,1
-mqbVkbCndg__0,-mqbVkbCndg,0,6.500000333333333,0.0,Neutral,41,50,50,official_transcript,0
-qDkUB0GgYY__6,-qDkUB0GgYY,6,4.677995,1.3333333730697632,Positive,37,50,50,official_transcript,0
-ri04Z7vwnc__0,-ri04Z7vwnc,0,2.807,0.0,Neutral,19,49,50,media_asr,0
-ri04Z7vwnc__2,-ri04Z7vwnc,2,6.027,-0.3333333432674408,Negative,14,49,50,media_asr,0
-ri04Z7vwnc__5,-ri04Z7vwnc,5,3.545,0.3333333432674408,Positive,48,49,50,media_asr,1
-s9qJ7ATP7w__0,-s9qJ7ATP7w,0,6.866666333333333,-0.3333333432674408,Negative,43,49,50,media_asr,0
-s9qJ7ATP7w__1,-s9qJ7ATP7w,1,4.791992,0.6666666865348816,Positive,38,49,50,official_transcript,0
-s9qJ7ATP7w__4,-s9qJ7ATP7w,4,4.427018,0.0,Neutral,31,48,50,official_transcript,0
-s9qJ7ATP7w__5,-s9qJ7ATP7w,5,8.561003,-2.0,Negative,46,49,50,official_transcript,0
-s9qJ7ATP7w__6,-s9qJ7ATP7w,6,2.475,0.0,Neutral,29,47,50,official_transcript,0
-s9qJ7ATP7w__7,-s9qJ7ATP7w,7,6.966016,1.0,Positive,42,49,50,official_transcript,0
-s9qJ7ATP7w__8,-s9qJ7ATP7w,8,3.294987,1.3333333730697632,Positive,36,49,50,official_transcript,0
-t217m2on-s__2,-t217m2on-s,2,5.686003,0.6666666865348816,Positive,39,50,50,official_transcript,0
-t217m2on-s__7,-t217m2on-s,7,17.183008,-0.6666666865348816,Negative,48,50,50,official_transcript,0
-tANM6ETl_M__3,-tANM6ETl_M,3,6.758008,0.3333333432674408,Positive,45,49,50,official_transcript,0
-tPCytz4rww__10,-tPCytz4rww,10,4.788997,0.0,Neutral,48,49,50,media_asr,0
-tPCytz4rww__11,-tPCytz4rww,11,5.466992,0.0,Neutral,49,50,50,media_asr,0
-tPCytz4rww__12,-tPCytz4rww,12,11.863997,0.0,Neutral,47,50,50,media_asr,0
-tPCytz4rww__16,-tPCytz4rww,16,7.20599,0.0,Neutral,45,50,50,official_transcript,0
-tPCytz4rww__18,-tPCytz4rww,18,6.644987,0.0,Neutral,42,50,50,official_transcript,0
-uywlfIYOS8__4,-uywlfIYOS8,4,6.044987,0.3333333432674408,Positive,34,49,50,official_transcript,0
-vxjVxOeScU__4,-vxjVxOeScU,4,9.127018,1.0,Positive,45,50,50,official_transcript,0
-wMB_hJL-3o__7,-wMB_hJL-3o,7,6.04401,0.3333333432674408,Positive,39,50,50,official_transcript,0
-wny0OAz3g8__0,-wny0OAz3g8,0,3.333333333333333,0.3333333432674408,Positive,41,49,50,official_transcript,0
-wny0OAz3g8__1,-wny0OAz3g8,1,6.84401,0.3333333432674408,Positive,46,50,50,official_transcript,0
-wny0OAz3g8__2,-wny0OAz3g8,2,6.686979,-0.3333333432674408,Negative,42,49,50,official_transcript,0
-wny0OAz3g8__3,-wny0OAz3g8,3,6.146029,-1.3333333730697632,Negative,41,50,50,official_transcript,0
-wny0OAz3g8__5,-wny0OAz3g8,5,6.911979,1.0,Positive,43,49,50,official_transcript,0
-wny0OAz3g8__7,-wny0OAz3g8,7,8.067969,0.0,Neutral,46,49,50,official_transcript,0
-wny0OAz3g8__9,-wny0OAz3g8,9,6.213021,0.6666666865348816,Positive,42,49,50,official_transcript,0
-yRb-Jum7EQ__1,-yRb-Jum7EQ,1,29.288021,0.0,Neutral,38,50,50,media_asr,8
-yRb-Jum7EQ__5,-yRb-Jum7EQ,5,13.16901,-0.6666666865348816,Negative,45,50,50,media_asr,0
-yRb-Jum7EQ__6,-yRb-Jum7EQ,6,11.241995,0.0,Neutral,47,50,50,media_asr,0
